"sample_id","ref_Pb","ComptonPb","NIR_bag_mean_Pb"
"mv10",6.48,6.23333333333333,5.513499241
"mv101",58.56,56.6333333333333,54.00819817
"mv102",30.97,31.2333333333333,85.79659431
"mv103",9652.56,8418.66666666667,4337.80744
"mv106",36.62,29.9333333333333,95.25970215
"mv107",13.24,15.9666666666667,15.03910087
"mv108",46.32,66.6,31.3110677
"mv109",93.22,123.666666666667,95.29451103
"mv110",23.64,30.3666666666667,63.22369865
"mv111",21.73,22.3,68.07834484
"mv112",64.92,73.4,87.29111801
"mv113",34.52,47.5333333333333,57.07593437
"mv115",5.02,5.43333333333333,1.92916276
"mv12",24.4,24.2666666666667,83.00674881
"mv121",23.65,36.8666666666667,53.07084778
"mv122",30.22,56.1,50.88725716
"mv123",39.36,42.3666666666667,63.47960136
"mv124",11.78,10.6333333333333,52.00747377
"mv125",18.8,20.7,41.80259319
"mv126",309.86,393,219.2879684
"mv127",41.97,52.2666666666667,51.02332748
"mv128",71.31,77.4,65.07215687
"mv131",64.75,78.1,57.30509499
"mv132",11.11,17.8333333333333,69.1450165
"mv135",44.85,39.2666666666667,41.57297808
"mv136",16.17,23.1333333333333,48.46965782
"mv137",1870.87,1694.66666666667,1125.244575
"mv138",131.38,150.333333333333,63.17756516
"mv139",85.07,104.866666666667,47.85645851
"mv14",44.51,48,35.87902847
"mv141",32.69,42.1333333333333,36.08449557
"mv146",50.97,56.5666666666667,69.51696815
"mv148",21.26,38.2,3.852667547
"mv149",92.03,88.4666666666667,73.67151772
"mv15",26.52,31.7666666666667,40.36863979
"mv150",92.4,122.666666666667,94.90423477
"mv151",31.21,37.6333333333333,74.15714252
"mv153",43.45,51.3666666666667,26.34539966
"mv154",404.01,452.333333333333,144.591806
"mv156",99.08,111,38.48094967
"mv157",55.17,65.8666666666667,6.396233902
"mv158",93.88,110.333333333333,35.7081634
"mv16",80.49,95.5,61.05263058
"mv160",21.99,26.7,70.28056763
"mv162",186.15,253.666666666667,73.70626984
"mv163",45.06,51.7,82.91641785
"mv164",17.81,11.9,62.04120407
"mv166",103.16,114.966666666667,435.9549716
"mv167",74.73,93.4666666666667,125.7399925
"mv168",23.17,36.1,48.76760601
"mv172",26.23,23.9,75.71842377
"mv175",6.83,7.63333333333333,48.01976357
"mv177",186.13,219.666666666667,694.425247
"mv178",43.77,48.6666666666667,27.87282143
"mv179",68.22,90.4666666666667,60.651008
"mv181",17.35,13.2333333333333,56.41524349
"mv185",325.45,228.666666666667,481.0291222
"mv188",62.12,59.3666666666667,69.05726852
"mv19",13.37,13.6,11.5486227
"mv192",39.38,52.2666666666667,80.68763817
"mv193",17.69,14.4,40.53320644
"mv194",27,27.3666666666667,43.11206554
"mv196",31.71,25.6,68.65476524
"mv197",64.11,89.6333333333333,187.1952664
"mv198",73.05,76.8666666666667,83.66587349
"mv200",163.61,217.666666666667,69.67036041
"mv201",71.27,94.5666666666667,91.63218376
"mv202",10.3,9.46666666666667,577.0235551
"mv205",129.42,164.666666666667,186.6412138
"mv208",21.18,20.1333333333333,60.42913548
"mv21",8.92,9.2,120.1153096
"mv210",71.6,55.2,53.70614193
"mv212",124.31,122,76.49862144
"mv213",329.99,341,139.4288629
"mv215",119.91,121.666666666667,79.94268082
"mv219",64.57,77.3,85.66265083
"mv222",45.05,43.4333333333333,68.79264397
"mv223",60.79,86.3333333333333,539.2789081
"mv224",54.94,65.7666666666667,111.4147801
"mv225",174.66,150.666666666667,119.5675465
"mv228",33.2,36.5333333333333,8.809189827
"mv230",37.57,50.4,84.35936943
"mv232",189.91,227,100.234366
"mv233",70.77,65.7333333333333,74.59403999
"mv235",50.68,47.8,61.37363289
"mv236",100.93,114.833333333333,84.91651661
"mv237",43.05,50.4333333333333,71.26271561
"mv238",138.26,172,119.5387379
"mv24",10.34,8.06666666666667,26.90629245
"mv240",29.42,32,379.7151801
"mv244",21.06,27.0333333333333,36.16677485
"mv246",26.95,26.2666666666667,21.18582317
"mv248",105.87,104.666666666667,98.22199783
"mv25",6.02,10.5333333333333,1.092472675
"mv250",276.74,278,85.62852364
"mv251",109.49,172,86.91767365
"mv255",8.77,9.13333333333333,63.43627258
"mv257",76.72,106.1,791.6416558
"mv260",125.27,155.666666666667,98.49231758
"mv262",49.75,80.5,52.43555656
"mv263",180.07,247,100.5784418
"mv265",84.16,96.6333333333333,104.3729024
"mv267",32.31,36.3333333333333,27.03644081
"mv268",98.47,120.666666666667,46.01658953
"mv269",94.32,109.833333333333,69.58645943
"mv27",47.76,49.8666666666667,46.1626005
"mv270",56.37,65.0666666666667,61.95227173
"mv273",103.88,134.333333333333,81.94555145
"mv275",52.73,54.8333333333333,56.76796295
"mv276",84.87,104.6,51.00217857
"mv278",67.48,69.7,72.97916866
"mv279",52.87,58.1,87.64145988
"mv280",48.92,51.3666666666667,53.64044361
"mv281",13.88,18.4666666666667,37.08613379
"mv282",74.89,80.7,56.39255173
"mv283",62.36,70,49.56524826
"mv285",16.42,17.1,570.2558301
"mv288",123.95,145,65.59617989
"mv292",273,330.333333333333,48.09977736
"mv296",15.52,17.2,116.5187135
"mv298",164.98,154.333333333333,83.22615112
"mv3",13.2,16.7666666666667,57.57949707
"mv30",19.1,21.8333333333333,45.90675686
"mv301",174.05,186.333333333333,672.0597577
"mv302",62.25,70.3666666666667,55.35902061
"mv303",60.21,68.2666666666667,42.74691406
"mv304",110.04,133,67.60245392
"mv305",101,67.0333333333333,141.6309615
"mv306",95.13,97.6,945.9527826
"mv307",70.94,75.4666666666667,91.97118286
"mv308",18.44,19.3666666666667,54.14005371
"mv309",96.79,42.1,17.24758418
"mv31",36.09,44.3666666666667,19.40979233
"mv310",272.63,313,35.36429701
"mv312",47.08,51.5666666666667,41.20298878
"mv315",82.31,67.6,36.07042805
"mv316",497.14,412.333333333333,71.95214645
"mv317",205.53,159.666666666667,482.4774901
"mv318",733.15,477.666666666667,207.235192
"mv32",10.01,12.5,58.68216896
"mv321",25.64,29.2333333333333,57.19911964
"mv324",74.81,82.3666666666667,49.23757462
"mv325",15.34,137.333333333333,44.67489946
"mv326",58.38,15.4,47.91323463
"mv327",11.06,50.5333333333333,18.02760615
"mv33",20.08,25.9666666666667,41.01184748
"mv331",68.07,24,46.57921364
"mv332",1956.54,69.6666666666667,422.8472076
"mv333",210.94,1732,107.543913
"mv337",480.67,37.5333333333333,63.69879501
"mv34",25.62,28.2666666666667,78.72506474
"mv343",23.22,92.7666666666667,360.8084619
"mv344",74.43,35.7666666666667,155.1136572
"mv345",153.26,63.3333333333333,81.44541344
"mv347",326.43,193.333333333333,513.6815613
"mv348",31,448.333333333333,51.93275974
"mv349",120.89,34.8333333333333,77.72893593
"mv35",29.15,29.8666666666667,96.434114
"mv350",52.32,96.2,63.58400511
"mv351",77.62,47.3,48.05577117
"mv352",236.69,270.666666666667,82.16400803
"mv355",40.58,55.9,49.37565315
"mv356",78.51,73.0333333333333,67.45361092
"mv357",34.8,39.8,25.06234096
"mv358",43.6,36.4666666666667,156.9811189
"mv359",56.95,60.3333333333333,12.62101611
"mv360",82.94,103.333333333333,160.7362978
"mv362",163.8,159.666666666667,83.00728416
"mv364",183.14,177.666666666667,372.7670467
"mv365",25.37,25.9666666666667,61.07354606
"mv366",26.66,38.8,220.5975243
"mv367",49.77,70.4,132.1143906
"mv368",144.97,136.666666666667,83.66593933
"mv37",17.8,21.0333333333333,66.41384781
"mv370",75.77,63.1,100.7946043
"mv375",69.1,83.3,38.30936886
"mv376",39.67,40.8333333333333,45.94614513
"mv378",128.67,140.666666666667,86.94465919
"mv379",18.55,12.3666666666667,41.24190498
"mv38",10.11,17.2,19.68041226
"mv381",224.8,192.666666666667,56.56014164
"mv383",113.99,123.666666666667,37.92122711
"mv386",162.28,184.666666666667,123.3102991
"mv388",184.43,245.333333333333,141.1010677
"mv39",11.32,13.2333333333333,13.32567209
"mv391",47.96,33.4,75.06104843
"mv392",424.69,163,87.88257713
"mv393",48.08,70.0333333333333,49.30467014
"mv395",128.37,139.333333333333,124.9711195
"mv396",103.3,100.966666666667,741.8796291
"mv397",35.05,34,68.35439819
"mv398",127.65,76.9,3616.811517
"mv4",104.56,98.4666666666667,130.9607816
"mv40",26.92,30.6666666666667,38.02747999
"mv400",26.64,25.6666666666667,63.52717056
"mv401",117.29,133.666666666667,83.97609146
"mv403",238.89,157.666666666667,139.1683269
"mv405",198.11,231.333333333333,347.6979319
"mv406",77.67,104.866666666667,114.0959969
